class,value,class start,class stop,
220,234,1.214649551723,1.220195892965,
221,231,1.220195892965,1.225742234208,
222,225,1.225742234208,1.231288575451,
223,228,1.231288575451,1.236834916694,
224,215,1.236834916694,1.242381257936,
225,191,1.242381257936,1.247927599179,
226,217,1.247927599179,1.253473940422,
227,208,1.253473940422,1.259020281665,
228,222,1.259020281665,1.264566622907,
229,210,1.264566622907,1.270112964150,
230,208,1.270112964150,1.275659305393,
231,219,1.275659305393,1.281205646635,
232,195,1.281205646635,1.286751987878,
233,211,1.286751987878,1.292298329121,
234,203,1.292298329121,1.297844670364,
235,171,1.297844670364,1.303391011606,
236,184,1.303391011606,1.308937352849,
237,207,1.308937352849,1.314483694092,
238,198,1.314483694092,1.320030035335,
239,184,1.320030035335,1.325576376577,
240,193,1.325576376577,1.331122717820,
241,174,1.331122717820,1.336669059063,
242,209,1.336669059063,1.342215400306,
243,187,1.342215400306,1.347761741548,
244,158,1.347761741548,1.353308082791,
245,181,1.353308082791,1.358854424034,
246,174,1.358854424034,1.364400765277,
247,152,1.364400765277,1.369947106519,
248,188,1.369947106519,1.375493447762,
249,180,1.375493447762,1.381039789005,
250,168,1.381039789005,1.386586130247,
251,177,1.386586130247,1.392132471490,
252,158,1.392132471490,1.397678812733,
253,158,1.397678812733,1.403225153976,
254,165,1.403225153976,1.408771495218,
255,160,1.408771495218,1.414317836461,
256,177,1.414317836461,1.419864177704,
